Date,IHSG,USD_IDR,Gold,SP500
2010-12-16,3571.59912109375,9022.4501953125,1370.4000244140625,1242.8699951171875
2010-12-17,3581.42529296875,8938.0,1378.5999755859375,1243.9100341796875
2010-12-20,3568.671142578125,9034.4501953125,1385.5,1247.0799560546875
2010-12-21,3637.30419921875,8943.0,1388.199951171875,1254.5999755859375
2010-12-22,3620.54296875,9041.9501953125,1386.800048828125,1258.8399658203125
2010-12-23,3611.390380859375,9041.599609375,1380.0,1256.77001953125
2010-12-24,3611.390380859375,9038.900390625,1380.0,1256.77001953125
2010-12-27,3625.125,9041.9501953125,1382.4000244140625,1257.5400390625
2010-12-28,3659.8505859375,8939.0,1405.199951171875,1258.510009765625
2010-12-29,3699.072998046875,9017.4501953125,1413.0999755859375,1259.780029296875
2010-12-30,3703.367919921875,9001.4501953125,1405.5999755859375,1257.8800048828125
2010-12-31,3703.367919921875,8886.0,1421.0999755859375,1257.6400146484375
2011-01-03,3727.3720703125,9009.9501953125,1422.5999755859375,1271.8699951171875
2011-01-04,3759.914794921875,8989.9501953125,1378.5,1270.199951171875
2011-01-05,3783.561767578125,8886.0,1373.4000244140625,1276.56005859375
2011-01-06,3736.11181640625,8983.9501953125,1371.4000244140625,1273.8499755859375
2011-01-07,3631.311767578125,9015.7998046875,1368.5,1271.5
2011-01-10,3478.41357421875,9027.4501953125,1373.699951171875,1269.75
2011-01-11,3454.992431640625,9050.9501953125,1384.0,1274.47998046875
2011-01-12,3554.627685546875,8935.7001953125,1385.699951171875,1285.9599609375
2011-01-13,3564.798095703125,9040.0,1386.9000244140625,1283.760009765625
2011-01-14,3569.005126953125,9049.9501953125,1360.4000244140625,1293.239990234375
2011-01-17,3535.59326171875,8901.7998046875,1360.4000244140625,1293.239990234375
2011-01-18,3548.5107421875,9060.0,1368.0999755859375,1295.02001953125
2011-01-19,3534.146240234375,9053.9501953125,1370.199951171875,1281.9200439453125
2011-01-20,3453.9833984375,8948.0,1346.5,1280.260009765625
2011-01-21,3379.411376953125,8911.2001953125,1341.0,1283.3499755859375
2011-01-24,3345.9306640625,8947.599609375,1344.5,1290.8399658203125
2011-01-25,3433.772216796875,9050.0,1332.300048828125,1291.1800537109375
2011-01-26,3501.580810546875,9036.4501953125,1333.0,1296.6300048828125
2011-01-27,3514.4873046875,8920.599609375,1318.4000244140625,1299.5400390625
2011-01-28,3487.474365234375,9026.9501953125,1340.699951171875,1276.3399658203125
2011-01-31,3409.034423828125,8935.599609375,1333.800048828125,1286.1199951171875
2011-02-01,3442.3671875,8958.0,1339.5999755859375,1307.5899658203125
2011-02-02,3480.6904296875,9000.0,1331.5,1304.030029296875
2011-02-03,3480.6904296875,9020.9501953125,1352.300048828125,1307.0999755859375
2011-02-04,3496.032958984375,8921.0,1348.300048828125,1310.8699951171875
2011-02-07,3487.5712890625,8852.2998046875,1347.5999755859375,1319.050048828125
2011-02-08,3459.79833984375,8823.599609375,1363.4000244140625,1324.5699462890625
2011-02-09,3417.337890625,8900.0,1364.800048828125,1320.8800048828125
2011-02-10,3373.512451171875,8929.9501953125,1361.9000244140625,1321.8699951171875
2011-02-11,3391.634033203125,8925.0,1359.9000244140625,1329.1500244140625
2011-02-14,3416.634033203125,8763.7001953125,1364.5999755859375,1332.3199462890625
2011-02-15,3416.634033203125,8914.4501953125,1373.5999755859375,1328.010009765625
2011-02-16,3416.65185546875,8815.0,1374.699951171875,1336.3199462890625
2011-02-17,3434.24609375,8894.9501953125,1384.699951171875,1340.4300537109375
2011-02-18,3501.361083984375,8780.0,1388.199951171875,1343.010009765625
2011-02-21,3497.507080078125,8610.2001953125,1388.199951171875,1343.010009765625
2011-02-22,3450.965576171875,8750.0,1400.5,1315.43994140625
2011-02-23,3473.988037109375,8876.4501953125,1413.4000244140625,1307.4000244140625
2011-02-24,3438.998291015625,8872.0,1415.300048828125,1306.0999755859375
2011-02-25,3443.396240234375,8865.0,1408.699951171875,1319.8800048828125
2011-02-28,3470.212890625,8841.4501953125,1409.300048828125,1327.219970703125
2011-03-01,3512.480224609375,8821.4501953125,1430.699951171875,1306.3299560546875
2011-03-02,3486.061279296875,8798.0,1437.199951171875,1308.43994140625
2011-03-03,3494.403076171875,8812.4501953125,1416.0,1330.969970703125
2011-03-04,3542.76513671875,8805.4501953125,1428.199951171875,1321.1500244140625
2011-03-07,3561.578369140625,8616.2998046875,1434.0999755859375,1310.1300048828125
2011-03-08,3580.174560546875,8785.9501953125,1426.9000244140625,1321.8199462890625
2011-03-09,3598.534912109375,8786.0,1429.300048828125,1320.02001953125
2011-03-10,3587.50830078125,8760.0,1412.199951171875,1295.1099853515625
2011-03-11,3542.090087890625,8783.4501953125,1421.5,1304.280029296875
2011-03-14,3569.7001953125,8776.9501953125,1424.5999755859375,1296.3900146484375
2011-03-15,3524.345703125,8762.4501953125,1392.5999755859375,1281.8699951171875
