Date,Actual_IHSG,Hybrid_Multivariate,Hybrid_Univariate,Single_LSTM,Error_Hybrid_Multi,Error_Hybrid_Uni
2024-03-04,7276.7490234375,7010.4929122924805,7086.309616088867,7301.800850988584,266.25611114501953,190.4394073486328
2024-03-05,7247.4599609375,7010.558822631836,7086.510467529297,7299.466627478614,236.90113830566406,160.94949340820312
2024-03-06,7329.80078125,7010.0647048950195,7085.711959838867,7296.423386533701,319.73607635498047,244.0888214111328
2024-03-07,7373.9638671875,7009.56103515625,7085.140640258789,7286.296356653213,364.40283203125,288.82322692871094
2024-03-08,7381.9072265625,7009.836952209473,7085.764419555664,7283.586339712914,372.07027435302734,296.14280700683594
2024-03-11,7395.007161458333,7010.847412109375,7087.562072753906,7292.934112606032,384.15974934895803,307.4450887044268
2024-03-12,7408.107096354167,7012.371871948242,7090.326110839844,7309.253811443821,395.7352244059248,317.7809855143232
2024-03-13,7421.20703125,7014.293731689453,7093.874206542969,7331.517148098486,406.9132995605469,327.33282470703125
2024-03-14,7433.31494140625,7016.511589050293,7098.03791809082,7353.964952264578,416.80335235595703,335.2770233154297
2024-03-15,7328.05419921875,7018.940826416016,7102.658676147461,7373.5345902588015,309.1133728027344,225.39552307128906
2024-03-18,7302.44921875,7020.813735961914,7106.083160400391,7388.20164939166,281.63548278808594,196.36605834960938
2024-03-19,7336.74609375,7021.448051452637,7107.602752685547,7385.76384027912,315.2980422973633,229.14334106445312
2024-03-20,7331.1279296875,7021.379417419434,7107.997604370117,7373.412557905089,309.7485122680664,223.1303253173828
2024-03-21,7338.35302734375,7021.045974731445,7107.701614379883,7355.076723766135,317.3070526123047,230.6514129638672
2024-03-22,7350.15185546875,7020.549133300781,7107.02946472168,7338.754423463441,329.60272216796875,243.1223907470703
2024-03-25,7377.759765625,7020.094993591309,7106.341522216797,7328.576310272096,357.6647720336914,271.4182434082031
2024-03-26,7365.6640625,7019.920471191406,7106.115524291992,7320.311219772964,345.74359130859375,259.5485382080078
2024-03-27,7310.091796875,7020.018943786621,7106.231353759766,7314.557488894134,290.0728530883789,203.86044311523438
2024-03-28,7288.81298828125,7019.8713302612305,7105.809188842773,7312.268909268401,268.94165802001953,183.00379943847656
2024-03-29,7246.93701171875,7019.132698059082,7104.453598022461,7306.174622983861,227.80431365966797,142.48341369628906
2024-04-01,7205.06103515625,7017.725234985352,7101.839904785156,7296.617313917508,187.33580017089844,103.22113037109375
2024-04-02,7236.98388671875,7015.495475769043,7097.7054443359375,7283.438292710154,221.48841094970703,139.2784423828125
2024-04-03,7166.84423828125,7012.8336181640625,7092.889495849609,7267.601520357406,154.0106201171875,73.95474243164062
